date,hour,day_type
2020-05-01,11,working_day
2020-05-01,11,working_day
2020-05-01,13,working_day
2020-05-01,13,working_day
2020-05-01,18,working_day
2020-05-01,18,working_day
2020-05-01,18,working_day
2020-05-01,18,working_day
2020-05-01,18,working_day
2020-05-01,18,working_day
2020-05-01,18,working_day
2020-05-01,18,working_day
2020-05-01,18,working_day
2020-05-01,18,working_day
2020-05-01,18,working_day
2020-05-01,18,working_day
2020-05-01,19,working_day
2020-05-01,19,working_day
2020-05-01,19,working_day
2020-05-01,19,working_day
2020-05-01,19,working_day
2020-05-01,19,working_day
2020-05-01,19,working_day
2020-05-01,19,working_day
2020-05-01,19,working_day
2020-05-01,21,working_day
2020-05-01,21,working_day
2020-05-01,22,working_day
2020-05-01,22,working_day
2020-05-01,22,working_day
2020-05-01,22,working_day
2020-05-02,7,weekend
2020-05-02,7,weekend
2020-05-02,8,weekend
2020-05-02,9,weekend
2020-05-02,10,weekend
2020-05-02,11,weekend
2020-05-02,11,weekend
2020-05-02,11,weekend
2020-05-02,11,weekend
2020-05-02,11,weekend
2020-05-02,11,weekend
2020-05-02,11,weekend
2020-05-02,11,weekend
2020-05-02,11,weekend
2020-05-02,11,weekend
2020-05-02,11,weekend
2020-05-02,11,weekend
2020-05-02,11,weekend
2020-05-02,11,weekend
2020-05-02,11,weekend
2020-05-02,11,weekend
2020-05-02,11,weekend
2020-05-02,11,weekend
2020-05-02,11,weekend
2020-05-02,11,weekend
2020-05-02,11,weekend
2020-05-02,11,weekend
2020-05-02,11,weekend
2020-05-02,11,weekend
2020-05-02,11,weekend
2020-05-02,11,weekend
2020-05-02,11,weekend
2020-05-02,11,weekend
2020-05-02,11,weekend
2020-05-02,11,weekend
2020-05-02,11,weekend
2020-05-02,11,weekend
2020-05-02,11,weekend
2020-05-02,11,weekend
2020-05-02,11,weekend
2020-05-02,11,weekend
2020-05-02,11,weekend
2020-05-02,11,weekend
2020-05-02,11,weekend
2020-05-02,11,weekend
2020-05-02,11,weekend
2020-05-02,11,weekend
2020-05-02,12,weekend
2020-05-02,12,weekend
2020-05-02,12,weekend
2020-05-02,12,weekend
2020-05-02,12,weekend
2020-05-02,12,weekend
2020-05-02,12,weekend
2020-05-02,12,weekend
2020-05-02,12,weekend
2020-05-02,12,weekend
2020-05-02,13,weekend
2020-05-02,13,weekend
2020-05-02,13,weekend
2020-05-02,13,weekend
2020-05-02,13,weekend
2020-05-02,13,weekend
2020-05-02,13,weekend
2020-05-02,13,weekend
2020-05-02,13,weekend
2020-05-02,13,weekend
2020-05-02,13,weekend
2020-05-02,13,weekend
2020-05-02,13,weekend
2020-05-02,13,weekend
2020-05-02,14,weekend
2020-05-02,14,weekend
2020-05-02,14,weekend
2020-05-02,14,weekend
2020-05-02,14,weekend
2020-05-02,14,weekend
2020-05-02,14,weekend
2020-05-02,14,weekend
2020-05-02,14,weekend
2020-05-02,14,weekend
2020-05-02,14,weekend
2020-05-02,14,weekend
2020-05-02,14,weekend
2020-05-02,14,weekend
2020-05-02,14,weekend
2020-05-02,15,weekend
2020-05-02,15,weekend
2020-05-02,15,weekend
2020-05-02,15,weekend
2020-05-02,15,weekend
2020-05-02,15,weekend
2020-05-02,15,weekend
2020-05-02,15,weekend
2020-05-02,15,weekend
2020-05-02,15,weekend
2020-05-02,16,weekend
2020-05-02,16,weekend
2020-05-02,16,weekend
2020-05-02,16,weekend
2020-05-02,16,weekend
2020-05-02,16,weekend
2020-05-02,16,weekend
2020-05-02,16,weekend
2020-05-02,16,weekend
2020-05-02,16,weekend
2020-05-02,16,weekend
2020-05-02,16,weekend
2020-05-02,17,weekend
2020-05-02,17,weekend
2020-05-02,19,weekend
2020-05-02,19,weekend
2020-05-02,19,weekend
2020-05-02,19,weekend
2020-05-02,19,weekend
2020-05-02,19,weekend
2020-05-02,20,weekend
2020-05-02,20,weekend
2020-05-02,20,weekend
2020-05-02,20,weekend
2020-05-02,23,weekend
2020-05-02,23,weekend
2020-05-02,23,weekend
2020-05-02,23,weekend
2020-05-02,23,weekend
2020-05-02,23,weekend
2020-05-02,23,weekend
2020-05-02,23,weekend
2020-05-02,23,weekend
2020-05-03,8,weekend
2020-05-03,8,weekend
2020-05-03,8,weekend
2020-05-03,8,weekend
2020-05-03,8,weekend
2020-05-03,8,weekend
2020-05-03,8,weekend
2020-05-03,9,weekend
2020-05-03,9,weekend
2020-05-03,9,weekend
2020-05-03,9,weekend
2020-05-03,9,weekend
2020-05-03,9,weekend
2020-05-03,10,weekend
2020-05-03,10,weekend
2020-05-03,10,weekend
2020-05-03,10,weekend
2020-05-03,10,weekend
2020-05-03,11,weekend
2020-05-03,11,weekend
2020-05-03,11,weekend
2020-05-03,11,weekend
2020-05-03,11,weekend
2020-05-03,11,weekend
2020-05-03,11,weekend
2020-05-03,12,weekend
2020-05-03,12,weekend
2020-05-03,12,weekend
2020-05-03,12,weekend
2020-05-03,12,weekend
2020-05-03,12,weekend
2020-05-03,12,weekend
2020-05-03,12,weekend
2020-05-03,13,weekend
2020-05-03,13,weekend
2020-05-03,13,weekend
2020-05-03,13,weekend
2020-05-03,13,weekend
2020-05-03,13,weekend
2020-05-03,13,weekend
2020-05-03,13,weekend
2020-05-03,13,weekend
2020-05-03,13,weekend
2020-05-03,14,weekend
2020-05-03,14,weekend
2020-05-03,14,weekend
2020-05-03,14,weekend
2020-05-03,14,weekend
2020-05-03,14,weekend
2020-05-03,14,weekend
2020-05-03,14,weekend
2020-05-03,14,weekend
2020-05-03,14,weekend
2020-05-03,15,weekend
2020-05-03,15,weekend
2020-05-03,15,weekend
2020-05-03,15,weekend
2020-05-03,15,weekend
2020-05-03,15,weekend
2020-05-03,18,weekend
2020-05-03,18,weekend
2020-05-03,18,weekend
2020-05-03,18,weekend
2020-05-03,18,weekend
2020-05-03,18,weekend
2020-05-03,18,weekend
2020-05-03,18,weekend
2020-05-03,18,weekend
2020-05-03,19,weekend
2020-05-03,19,weekend
2020-05-03,19,weekend
2020-05-03,19,weekend
2020-05-03,19,weekend
2020-05-03,19,weekend
2020-05-03,19,weekend
2020-05-03,19,weekend
2020-05-03,20,weekend
2020-05-03,20,weekend
2020-05-03,20,weekend
2020-05-03,20,weekend
2020-05-03,20,weekend
2020-05-03,20,weekend
2020-05-03,20,weekend
2020-05-03,20,weekend
2020-05-03,20,weekend
2020-05-03,20,weekend
2020-05-03,20,weekend
2020-05-03,20,weekend
2020-05-03,20,weekend
2020-05-03,20,weekend
2020-05-03,20,weekend
2020-05-03,20,weekend
2020-05-03,20,weekend
2020-05-03,20,weekend
2020-05-03,20,weekend
2020-05-03,21,weekend
2020-05-03,21,weekend
2020-05-03,21,weekend
2020-05-03,21,weekend
2020-05-03,23,weekend
2020-05-04,8,working_day
2020-05-04,8,working_day
2020-05-04,9,working_day
2020-05-04,10,working_day
2020-05-04,10,working_day
2020-05-04,10,working_day
2020-05-04,12,working_day
2020-05-04,12,working_day
2020-05-04,12,working_day
2020-05-04,12,working_day
2020-05-04,12,working_day
2020-05-04,13,working_day
2020-05-04,14,working_day
2020-05-04,14,working_day
2020-05-04,14,working_day
2020-05-04,14,working_day
2020-05-04,14,working_day
2020-05-04,14,working_day
2020-05-04,15,working_day
2020-05-05,8,working_day
2020-05-05,9,working_day
2020-05-05,9,working_day
2020-05-05,9,working_day
2020-05-05,9,working_day
2020-05-05,9,working_day
2020-05-05,9,working_day
2020-05-05,9,working_day
2020-05-05,10,working_day
2020-05-05,10,working_day
2020-05-05,10,working_day
2020-05-05,10,working_day
2020-05-05,10,working_day
2020-05-05,10,working_day
2020-05-05,10,working_day
2020-05-05,10,working_day
2020-05-05,10,working_day
2020-05-05,10,working_day
2020-05-05,10,working_day
2020-05-05,10,working_day
2020-05-05,10,working_day
2020-05-05,10,working_day
2020-05-05,10,working_day
2020-05-05,10,working_day
2020-05-05,10,working_day
2020-05-05,10,working_day
2020-05-05,10,working_day
2020-05-05,10,working_day
2020-05-05,10,working_day
2020-05-05,10,working_day
2020-05-05,11,working_day
2020-05-05,11,working_day
2020-05-05,11,working_day
2020-05-05,11,working_day
2020-05-05,11,working_day
2020-05-05,11,working_day
2020-05-05,11,working_day
2020-05-05,11,working_day
2020-05-05,11,working_day
2020-05-05,11,working_day
2020-05-05,11,working_day
2020-05-05,11,working_day
2020-05-05,12,working_day
2020-05-05,12,working_day
2020-05-05,12,working_day
2020-05-05,12,working_day
2020-05-05,12,working_day
2020-05-05,12,working_day
2020-05-05,12,working_day
2020-05-05,12,working_day
2020-05-05,12,working_day
2020-05-05,12,working_day
2020-05-05,12,working_day
2020-05-05,12,working_day
2020-05-05,12,working_day
2020-05-05,12,working_day
2020-05-05,12,working_day
2020-05-05,13,working_day
2020-05-05,13,working_day
2020-05-05,13,working_day
2020-05-05,13,working_day
2020-05-05,13,working_day
2020-05-05,13,working_day
2020-05-05,13,working_day
2020-05-05,13,working_day
2020-05-05,14,working_day
2020-05-05,15,working_day
2020-05-05,15,working_day
2020-05-05,15,working_day
2020-05-05,20,working_day
2020-05-05,21,working_day
2020-05-05,22,working_day
2020-05-06,7,working_day
2020-05-07,10,working_day
2020-05-07,10,working_day
2020-05-07,10,working_day
2020-05-07,10,working_day
2020-05-07,11,working_day
2020-05-07,11,working_day
2020-05-07,11,working_day
2020-05-07,12,working_day
2020-05-07,14,working_day
2020-05-07,14,working_day
2020-05-07,15,working_day
2020-05-07,15,working_day
2020-05-07,15,working_day
2020-05-07,15,working_day
2020-05-07,15,working_day
2020-05-07,17,working_day
2020-05-07,20,working_day
2020-05-07,20,working_day
2020-05-07,21,working_day
2020-05-07,21,working_day
2020-05-07,21,working_day
2020-05-07,21,working_day
2020-05-07,21,working_day
2020-05-07,21,working_day
2020-05-07,21,working_day
2020-05-07,21,working_day
2020-05-07,21,working_day
2020-05-08,11,working_day
2020-05-08,11,working_day
2020-05-08,15,working_day
2020-05-08,15,working_day
2020-05-08,15,working_day
2020-05-08,15,working_day
2020-05-08,15,working_day
2020-05-08,15,working_day
2020-05-08,16,working_day
2020-05-08,16,working_day
2020-05-08,16,working_day
2020-05-08,16,working_day
2020-05-08,16,working_day
2020-05-08,16,working_day
2020-05-08,17,working_day
2020-05-08,17,working_day
2020-05-08,17,working_day
2020-05-08,17,working_day
2020-05-08,17,working_day
2020-05-08,17,working_day
2020-05-08,17,working_day
2020-05-08,17,working_day
2020-05-08,17,working_day
2020-05-08,18,working_day
2020-05-08,18,working_day
2020-05-08,19,working_day
2020-05-08,19,working_day
2020-05-08,19,working_day
2020-05-08,19,working_day
2020-05-08,20,working_day
2020-05-08,20,working_day
2020-05-08,20,working_day
2020-05-08,20,working_day
2020-05-08,20,working_day
2020-05-08,20,working_day
2020-05-08,20,working_day
2020-05-08,20,working_day
2020-05-08,20,working_day
2020-05-08,20,working_day
2020-05-08,21,working_day
2020-05-08,21,working_day
2020-05-08,21,working_day
2020-05-08,21,working_day
2020-05-08,22,working_day
2020-05-09,12,weekend
2020-05-09,14,weekend
2020-05-09,14,weekend
2020-05-09,14,weekend
2020-05-09,14,weekend
2020-05-09,15,weekend
2020-05-09,18,weekend
2020-05-09,18,weekend
2020-05-09,19,weekend
2020-05-09,19,weekend
2020-05-09,20,weekend
2020-05-09,20,weekend
2020-05-09,21,weekend
2020-05-09,21,weekend
2020-05-09,21,weekend
2020-05-09,21,weekend
2020-05-09,21,weekend
2020-05-09,21,weekend
2020-05-09,21,weekend
2020-05-09,22,weekend
2020-05-09,22,weekend
2020-05-09,22,weekend
2020-05-09,22,weekend
2020-05-09,22,weekend
2020-05-09,22,weekend
2020-05-09,22,weekend
2020-05-09,22,weekend
2020-05-09,22,weekend
2020-05-09,22,weekend
2020-05-09,22,weekend
2020-05-09,22,weekend
2020-05-09,22,weekend
2020-05-09,22,weekend
2020-05-09,22,weekend
2020-05-09,22,weekend
2020-05-09,22,weekend
2020-05-09,22,weekend
2020-05-09,23,weekend
2020-05-09,23,weekend
2020-05-09,23,weekend
2020-05-09,23,weekend
2020-05-09,23,weekend
2020-05-09,23,weekend
2020-05-10,0,weekend
2020-05-10,1,weekend
2020-05-10,1,weekend
2020-05-10,1,weekend
2020-05-10,9,weekend
